3C,3D/3H/3S,"4C- no fit, minimum",natural
Pre-empt,natural 5+suit,,
(strength/length dependant on vuln and position),,Raise – minimum with fit (>Hx/xxx),
,,,
,,"3NT- maximum, no fit",natural
,,,
,,New suit- maximum with fit and feature,natural
,,,
,,,
,4C/5C,Opener always passes,
,obstructive raises,,
,,,
,3NT/4H/4S,,
,to play,,
,,,
,4NT- RKCB,,
