,,,4S- minimum 3 card raise (game values with clubs),,
,,,,,
,,,,,
,,,,,
,,,,,
OPENER,RESPONDER,OPENER REBID,RESPONDER REBID,FURTHER?,
,,,,,
1S,2D*,Virtually all sequences as after 1H-2D:,,,
Natural 4+,Natural 4+ suit,2S- natural 5+ card suit,3C/3H- natural (3H suggests a distributional non min),,
10-21pts,Game Forcing,,"2NT- natural (in principle), non minimum",Appendix 1,
,,,"4H/4C- Splinter, limited, 3+ support",cue bids,
,(* By PASSED,,3S- 3+ card support slam interest,cue bids,
,HAND is natural,,"3NT/4S- natural, minimum",Natural,
,"9+pts, invitational)",,"3D- good suit, invites support (Hx)",Natural,
,,,,,
,,2NT- 11-13 or 17-18pts balanced,3C-checkback (may have 4C),Appendix 2,
,,(with only 4 spades),3D- good suit invites support (Hx),Natural,
,,,3S- 4+ card support slam interest,cue bids,
,,,"4H/4C- natural, distributional",cue bids,
,,,3H- suggests a distributional non minimum,Natural,
,,,4D- sets suit (usually solid),cue bid,
,,,3NT- minimum,,
,,,,,
,,,,,
,,"3C- natural (5-4), non minimum",3D- good suit invites support (Hx),Natural,
,,,3S- 3+ card support slam interest,cue bids,
,,,3H-FSF,Appendix 5,
,,,"3NT- natural, minimum",Appendix 1,
,,,"4C- confirms clubs, slam try",cue bids,
,,,,,
,,,,,
,,3D- 4 card support (not balanced or minimum),New suit – values (may be cue bid),Natural (cue bid),
,,,3S- 3+ card support slam interest,cue bids,
,,,"3NT- natural, minimum",Appendix 1,
,,,4D- RKCB,Appendix 4,
,,,,,
,,,,,
,,"3S- good (one loser) 6+ card suit, non minimum",New Suit – cue bid,cue bids,
,,,3NT- natural,Appendix 1,
,,,4D- very good suit,cue bid,
,,,,,
,,,,,
OPENER,RESPONDER,OPENER REBID,RESPONDER REBID,FURTHER?,
,,,,,
1S,2D*,"3H/4C- Splinter, good D support. minimum",New suit- cue bid,cue bids,
Natural 4+,Natural 4+ suit,,4D- RKCB,Appendix 4,
10-21pts,Game Forcing,,,,
,,Different sequences:,,,
,,2H- natural (5-4),2S- natural in principle,Appendix 1,
,,,"2NT- natural (in principle), non minimum",Appendix 1,
,,,3C- FSF,Appendix 5,
,,,3D- good suit invites support (Hx),Natural,
,,,"3H/3S- confirm suit, slam try",cue bid,
,,,"3NT/4H/4S- natural, minimum",Natural,
,,,"4C- heart support, limited Splinter in S",cue bid,
,,,4D- very good suit with 4 card H support,cue bid,
,,,,,
,,"3NT- limited, concentrated 5-5 in majors",4C- slam try in a major (puppet to 4D),after 4D shows suit,
,,,4D- excellent suit,Natural,
,,,,,
,,,,,
1S,2H*,2S- 5+ spades (effectively denies 3+ hearts),"2NT- natural (in principle), non minimum",Appendix 1,
Natural 4+,Natural 5+ suit,(may be 5332),"3C/3D- natural, 5-4",Natural,
10-21pts,Game Forcing,,3H- good suit invites support,Natural (cue bid),
,,,"3S- 3 card support, non minimum",cue bid,
,(* By PASSED,,"3NT/4H/4S- natural, minimum",,
,HAND is natural,,"4C/4D- 3+ card spade support, limited splinter",cue bid,
,"9+pts, invitational)",,,,
,,,,,
,,2NT- 11-13 or 17-18pts balanced,3C- checkback (may have 4C),Appendix 2,
,,(with only 4 spades),"3D- natural 5+H, 4+D",Natural,
,,,3H- good suit invites support,Natural (cue bid),
,,,3S- promises 4 card support and good H,Natural (cue bid),
,,,"3NT- natural, minimum",,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
OPENER,RESPONDER,OPENER REBID,RESPONDER REBID,FURTHER?,
,,,,,
1S,2H*,"3C/3D – natural 5-4, non minimum",3H- good suit invites support,Natural,
Natural 4+,Natural 5+ suit,,"3S- 3 card support, non minimum",cue bid,
10-21pts,Game Forcing,,"3NT- natural, minimum",Natural,
,,,Raise – natural,cue bid,
,(* By PASSED,,New suit – FSF,Appendix 5,
,HAND is natural,,,,
,"9+pts, invitational)",,,,
,,"3S- good (one loser) 6+ card suit, non minimum",New Suit – cue bid,cue bid,
,,,"3NT/4H/4S- natural, minimum",,
,,,,,
,,,,,
