4C/4D,4H/4S- to play,
Pre-empt,,
,4NT- ace/suit ask,"5C- poor suit, no ace;  5D-good suit, no ace 5H- poor suit, ace; 5S- good suit, ace"
,,
,,
,Raise – obstructive,
